Altura	Edad
40.51	13
10.89	15
28.72	10
41.74	15
52.7	20
60.92	25
40.55	13
10.92	15
29.07	10
42.83	15
53.88	20
63.39	25
40.79	13
11.37	15
30.21	10
44.4	15
55.82	20
64.1	25
30.91	13
69.48	15
25.66	10
39.07	15
50.78	20
59.07	25
40.81	13
41.2	15
28.66	10
41.66	15
53.31	20
63.05	25
30.88	13
69.4	15
25.99	10
39.55	15
51.46	20
59.64	25
40.32	13
10.43	15
27.16	10
40.85	15
51.33	20
60.07	25
40.57	13
10.57	15
27.9	10
41.13	15
52.43	20
60.69	25
30.77	13
69.03	15
25.45	10
38.98	15
49.76	20
60.28	25
40.33	13
10.79	15
28.97	10
42.44	15
53.17	20
61.62	25
40.38	13
10.48	15
27.93	10
40.2	15
50.06	20
58.49	25
40.12	13
59.92	15
26.54	10
37.82	15
48.43	20
56.81	25
30.93	13
39.34	15
26.08	10
37.79	15
48.31	20
56.43	25
30.46	13
39.05	15
25.85	10
39.15	15
49.12	20
59.49	25
