;Proteinas;Calorias;Grasas;Marcas
1;18.11;93.09;3.72;Marca 1
2;18.11;93.42;3.67;Marca 1
3;18.15;94.05;3.45;Marca 1
4;18.17;94.36;2.99;Marca 1
5;18.35;94.53;3.47;Marca 1
6;18.36;95.12;2.83;Marca 1
7;18.37;95.14;3.25;Marca 1
8;18.42;95.39;3.76;Marca 1
9;18.44;95.96;2.64;Marca 1
10;18.44;96.06;3.13;Marca 1
11;18.47;96.17;3.90;Marca 1
12;18.48;96.98;3.39;Marca 1
13;18.56;97.25;3.51;Marca 1
14;18.65;97.26;3.80;Marca 1
15;18.66;97.32;2.99;Marca 1
16;18.83;97.40;2.77;Marca 1
17;18.93;97.49;3.48;Marca 1
18;19.00;97.58;3.66;Marca 1
19;19.01;99.00;3.01;Marca 1
20;19.03;99.48;3.29;Marca 1
21;19.07;99.59;3.43;Marca 1
22;19.10;99.95;3.43;Marca 1
23;19.11;100.48;2.82;Marca 1
24;19.13;100.55;2.74;Marca 1
25;19.15;100.64;3.21;Marca 1
26;19.18;100.90;3.64;Marca 1
27;19.20;101.45;2.61;Marca 1
28;19.23;101.48;2.74;Marca 1
29;19.24;101.84;3.84;Marca 1
30;19.24;102.08;3.33;Marca 1
31;19.25;102.13;3.71;Marca 1
32;19.29;102.37;3.01;Marca 1
33;19.35;102.66;2.97;Marca 1
34;19.49;102.72;3.88;Marca 1
35;19.49;103.59;3.66;Marca 1
36;19.50;104.37;3.29;Marca 1
37;19.50;104.66;3.70;Marca 1
38;19.51;104.73;3.59;Marca 1
39;19.54;104.94;3.28;Marca 1
40;19.57;104.96;3.71;Marca 1
41;19.58;105.21;3.83;Marca 2
42;19.59;105.46;3.39;Marca 2
43;19.61;105.71;2.94;Marca 2
44;19.70;106.00;3.04;Marca 2
45;19.73;106.04;3.55;Marca 2
46;19.77;106.42;3.89;Marca 2
47;19.79;106.61;2.93;Marca 2
48;19.83;107.16;3.25;Marca 2
49;19.87;107.66;3.67;Marca 2
50;19.87;107.94;2.68;Marca 2
51;19.88;108.11;3.24;Marca 2
52;19.89;108.45;2.63;Marca 2
53;19.94;108.48;2.87;Marca 2
54;19.96;108.64;2.69;Marca 2
55;19.98;108.88;3.07;Marca 2
56;20.06;109.44;3.38;Marca 2
57;20.10;109.93;3.76;Marca 2
58;20.10;109.99;2.87;Marca 2
59;20.12;110.06;2.70;Marca 2
60;20.27;110.15;3.64;Marca 2
61;20.34;110.33;3.12;Marca 2
62;20.45;110.62;2.76;Marca 2
63;20.51;110.91;3.14;Marca 2
64;20.52;110.92;3.18;Marca 2
65;20.54;111.00;2.71;Marca 2
66;20.55;111.22;3.74;Marca 2
67;20.55;111.34;2.92;Marca 2
68;20.56;111.65;3.35;Marca 2
69;20.56;111.93;3.44;Marca 2
70;20.58;112.29;2.92;Marca 2
71;20.59;112.84;3.32;Marca 2
72;20.68;113.03;3.02;Marca 2
73;20.74;113.59;3.09;Marca 2
74;20.78;113.81;3.01;Marca 2
75;20.79;114.24;2.67;Marca 2
76;20.83;114.27;3.75;Marca 2
77;20.85;114.89;3.87;Marca 2
78;20.88;115.15;3.69;Marca 2
79;20.88;115.19;3.22;Marca 2
80;20.93;115.29;3.82;Marca 2
81;20.94;115.34;2.99;Marca 3
82;21.00;115.35;3.40;Marca 3
83;21.02;115.57;3.87;Marca 3
84;21.12;116.56;3.50;Marca 3
85;21.14;117.28;2.71;Marca 3
86;21.15;117.39;2.98;Marca 3
87;21.28;117.40;3.53;Marca 3
88;21.29;117.62;2.93;Marca 3
89;21.30;117.79;3.18;Marca 3
90;21.30;117.98;3.58;Marca 3
91;21.64;117.98;2.68;Marca 3
92;21.70;118.11;3.35;Marca 3
93;21.83;118.30;3.28;Marca 3
94;21.83;118.62;2.71;Marca 3
95;21.85;118.80;3.87;Marca 3
96;21.85;119.10;2.79;Marca 3
97;21.87;119.37;3.05;Marca 3
98;21.89;119.70;3.44;Marca 3
99;21.89;119.72;3.49;Marca 3
100;22.01;120.42;2.81;Marca 3
101;22.10;120.48;3.32;Marca 3
102;22.10;120.65;3.23;Marca 3
103;22.11;120.87;3.35;Marca 3
104;22.15;121.14;3.25;Marca 3
105;22.17;121.62;3.34;Marca 3
106;22.18;122.18;2.79;Marca 3
107;22.25;122.19;3.02;Marca 3
108;22.31;122.78;3.08;Marca 3
109;22.35;122.99;2.64;Marca 3
110;22.42;123.06;2.95;Marca 3
111;22.56;123.09;2.76;Marca 3
