especie	temperatura	sexo	tasaresp
1	10	macho	1.9
1	10	macho	1.8
1	10	macho	1.6
1	10	macho	1.4
1	10	hembra	1.8
1	10	hembra	1.7
1	10	hembra	1.4
1	10	hembra	1.5
1	20	macho	2.3
1	20	macho	2.1
1	20	macho	2
1	20	macho	2.6
1	20	hembra	2.4
1	20	hembra	2.7
1	20	hembra	2.4
1	20	hembra	2.6
1	30	macho	2.9
1	30	macho	2.8
1	30	macho	3.4
1	30	macho	3.2
1	30	hembra	3
1	30	hembra	3.1
1	30	hembra	3
1	30	hembra	2.7
2	10	macho	2.1
2	10	macho	2
2	10	macho	1.8
2	10	macho	2.2
2	10	hembra	2.3
2	10	hembra	2
2	10	hembra	1.9
2	10	hembra	1.7
2	20	macho	2.4
2	20	macho	2.6
2	20	macho	2.7
2	20	macho	2.3
2	20	hembra	2
2	20	hembra	2.3
2	20	hembra	2.1
2	20	hembra	2.4
2	30	macho	3.6
2	30	macho	3.1
2	30	macho	3.4
2	30	macho	3.2
2	30	hembra	3.1
2	30	hembra	3
2	30	hembra	2.8
2	30	hembra	3.2
3	10	macho	1.1
3	10	macho	1.2
3	10	macho	1
3	10	macho	1.4
3	10	hembra	1.4
3	10	hembra	1
3	10	hembra	1.3
3	10	hembra	1.2
3	20	macho	2
3	20	macho	2.1
3	20	macho	1.9
3	20	macho	2.2
3	20	hembra	2.4
3	20	hembra	2.6
3	20	hembra	2.3
3	20	hembra	2.2
3	30	macho	2.9
3	30	macho	2.8
3	30	macho	3
3	30	macho	3.1
3	30	hembra	3.2
3	30	hembra	2.9
3	30	hembra	2.8
3	30	hembra	2.9
