riqueza	habitat	elevacion	latitud	longitud
10	volcirazu	900	9.8642	-83.9196
18	volcirazu	1100	9.8647	-83.9193
20	volcirazu	1200	9.864	-83.9191
19	volcirazu	1250	9.865	-83.9198
14	volcirazu	1000	9.8643	-83.9192
17	volcirazu	1050	9.8648	-83.9195
12	volcirazu	980	9.8641	-83.9197
16	volcirazu	1350	9.8651	-83.9194
18	volcirazu	1150	9.8645	-83.919
15	volcirazu	1080	9.8649	-83.9196
17	volcirazu	1120	9.8642	-83.9193
16	volcirazu	1180	9.8646	-83.9198
11	volcirazu	1400	9.8639	-83.9195
13	volcirazu	1300	9.8652	-83.9192
14	volcirazu	1020	9.8643	-83.9197
15	volcirazu	1160	9.8648	-83.9191
12	volcirazu	1380	9.8641	-83.9194
13	volcirazu	1250	9.865	-83.9196
14	volcirazu	1100	9.8644	-83.919
15	volcirazu	950	9.8647	-83.9199
16	volcirazu	1200	9.8642	-83.9192
17	volcirazu	1280	9.8651	-83.9195
8	volcturrialba	389	9.9902	-83.0363
6	volcturrialba	830	9.9898	-83.0359
14	volcturrialba	152	9.9905	-83.0361
7	volcturrialba	900	9.9901	-83.0367
9	volcturrialba	210	9.9899	-83.036
8	volcturrialba	780	9.9904	-83.0358
12	volcturrialba	470	9.99	-83.0365
17	volcturrialba	491	9.9897	-83.0362
14	volcturrialba	122	9.9906	-83.0361
18	volcturrialba	950	9.9903	-83.0364
18	volcturrialba	274	9.9899	-83.0357
14	volcturrialba	335	9.9905	-83.0366
12	volcturrialba	543	9.9896	-83.036
17	volcturrialba	323	9.9907	-83.0359
8	volcturrialba	158	9.9901	-83.0363
6	volcturrialba	313	9.9904	-83.036
5	volcturrialba	468	9.9898	-83.0366
4	volcturrialba	362	9.9906	-83.0358
9	volcturrialba	236	9.9902	-83.0365
10	volcturrialba	300	9.9905	-83.0362
11	volcturrialba	353	9.9897	-83.0359
18	volcturrialba	1148	9.9903	-83.0361
