	Tratamiento	Dias	Vol.urinario	Cr.S	NAG.U
1	A	1	52.34	0.371449909	0.129401052
2	A	2	55.32	0.443265263	0.442820975
3	A	3	62.58	0.443489475	0.947892712
4	A	4	61.88	0.587637282	0.975232511
5	A	5	74.12	0.611060175	1.07594603
6	B	1	70.88	0.630130481	1.245187347
7	B	2	95.23	0.644022998	2.158229005
8	B	3	85.76	0.667046858	2.630305428
9	B	4	78.43	0.743425541	2.736734485
10	B	5	86.21	0.755958664	3.003073914
11	C	1	94.63	0.758544463	3.584833245
12	C	2	113.56	0.861255597	4.496395056
13	C	3	142.89	0.887509381	4.901332391
14	C	4	87.6	0.896470127	5.036421798
15	C	5	133.45	0.904545887	5.500380844
