especie   	luz   	humedad   	fotosintesis
A   	baja   	seca   	2.1
A   	baja   	seca   	2
A   	baja   	seca   	2.2
A   	baja   	seca   	2.3
A   	baja   	seca   	2.1
A   	baja   	humeda   	2.4
A   	baja   	humeda   	2.5
A   	baja   	humeda   	2.3
A   	baja   	humeda   	2.6
A   	baja   	humeda   	2.4
A   	media   	seca   	3.1
A   	media   	seca   	3
A   	media   	seca   	3.2
A   	media   	seca   	3.3
A   	media   	seca   	3.1
A   	media   	humeda   	3.5
A   	media   	humeda   	3.6
A   	media   	humeda   	3.4
A   	media   	humeda   	3.7
A   	media   	humeda   	3.5
A   	media   	humeda   	3.6
A   	alta   	seca   	4
A   	alta   	seca   	4.1
A   	alta   	seca   	3.9
A   	alta   	seca   	4.2
A   	alta   	seca   	4
A   	alta   	humeda   	4.5
A   	alta   	humeda   	4.6
A   	alta   	humeda   	4.4
A   	alta   	humeda   	4.7
A   	alta   	humeda   	4.5
B   	baja   	seca   	2.5
B   	baja   	seca   	2.4
B   	baja   	seca   	2.6
B   	baja   	seca   	2.7
B   	baja   	seca   	2.5
B   	baja   	humeda   	2.8
B   	baja   	humeda   	2.9
B   	baja   	humeda   	2.7
B   	baja   	humeda   	3
B   	baja   	humeda   	2.8
B   	media   	seca   	3.6
B   	media   	seca   	3.5
B   	media   	seca   	3.7
B   	media   	seca   	3.8
B   	media   	seca   	3.6
B   	media   	humeda   	4
B   	media   	humeda   	4.1
B   	media   	humeda   	3.9
B   	media   	humeda   	4.2
B   	media   	humeda   	4
B   	alta   	seca   	4.6
B   	alta   	seca   	4.7
B   	alta   	seca   	4.5
B   	alta   	seca   	4.8
B   	alta   	seca   	4.6
B   	alta   	humeda   	5.1
B   	alta   	humeda   	5.2
B   	alta   	humeda   	5
B   	alta   	humeda   	5.3
B   	alta   	humeda   	5.1
