	condicion	n_huevos
1	condicion1	1
2	condicion1	2
3	condicion1	3
4	condicion1	4
5	condicion1	5
6	condicion1	6
7	condicion1	7
8	condicion1	8
9	condicion1	9
10	condicion1	16
11	condicion1	27
12	condicion1	28
13	condicion1	29
14	condicion1	30
15	condicion1	51
16	condicion1	52
17	condicion1	53
18	condicion1	342
19	condicion2	40
20	condicion2	41
21	condicion2	42
22	condicion2	43
23	condicion2	44
24	condicion2	45
25	condicion2	46
26	condicion2	47
27	condicion2	48
28	condicion2	67
29	condicion2	88
30	condicion2	89
31	condicion2	90
32	condicion2	91
33	condicion2	92
34	condicion2	93
35	condicion2	94
36	condicion2	293
37	condicion3	19
38	condicion3	20
39	condicion3	21
40	condicion3	22
41	condicion3	23
42	condicion3	24
43	condicion3	25
44	condicion3	26
45	condicion3	27
46	condicion3	28
47	condicion3	25
48	condicion3	36
49	condicion3	37
50	condicion3	58
51	condicion3	59
52	condicion3	60
53	condicion3	71
54	condicion3	72
