ID	LongitudSepalo	AnchoSepalo	LongitudPetalo	AnchoPetalo	Especie	Sitio
1	5.1	3.5	1.4	0.2	setosa	Esparza
2	4.9	3	1.4	0.2	setosa	Esparza
3	4.7	3.2	1.3	0.2	setosa	Esparza
4	4.6	3.1	1.5	0.2	setosa	Esparza
5	5	3.6	1.4	0.2	setosa	Esparza
6	5.4	3.9	1.7	0.4	setosa	Esparza
7	4.6	3.4	1.4	0.3	setosa	Esparza
8	5	3.4	1.5	0.2	setosa	Esparza
9	4.4	2.9	1.4	0.2	setosa	Esparza
10	4.9	3.1	1.5	0.1	setosa	Esparza
11	5.4	3.7	1.5	0.2	setosa	Esparza
12	4.8	3.4	1.6	0.2	setosa	Esparza
13	4.8	3	1.4	0.1	setosa	Esparza
14	4.3	3	1.1	0.1	setosa	Esparza
15	5.8	4	1.2	0.2	setosa	Esparza
16	5.7	4.4	1.5	0.4	setosa	Esparza
17	5.4	3.9	1.3	0.4	setosa	Esparza
18	5.1	3.5	1.4	0.3	setosa	Garabito
19	5.7	3.8	1.7	0.3	setosa	Garabito
20	5.1	3.8	1.5	0.3	setosa	Garabito
21	5.4	3.4	1.7	0.2	setosa	Garabito
22	5.1	3.7	1.5	0.4	setosa	Garabito
23	4.6	3.6	1	0.2	setosa	Garabito
24	5.1	3.3	1.7	0.5	setosa	Garabito
25	4.8	3.4	1.9	0.2	setosa	Garabito
26	5	3	1.6	0.2	setosa	Garabito
27	5	3.4	1.6	0.4	setosa	Garabito
28	5.2	3.5	1.5	0.2	setosa	Garabito
29	5.2	3.4	1.4	0.2	setosa	Garabito
30	4.7	3.2	1.6	0.2	setosa	Garabito
31	4.8	3.1	1.6	0.2	setosa	Garabito
32	5.4	3.4	1.5	0.4	setosa	Garabito
33	5.2	4.1	1.5	0.1	setosa	Garabito
34	5.5	4.2	1.4	0.2	setosa	Garabito
35	4.9	3.1	1.5	0.2	setosa	Chacarita
36	5	3.2	1.2	0.2	setosa	Chacarita
37	5.5	3.5	1.3	0.2	setosa	Chacarita
38	4.9	3.6	1.4	0.1	setosa	Chacarita
39	4.4	3	1.3	0.2	setosa	Chacarita
40	5.1	3.4	1.5	0.2	setosa	Chacarita
41	5	3.5	1.3	0.3	setosa	Chacarita
42	4.5	2.3	1.3	0.3	setosa	Chacarita
43	4.4	3.2	1.3	0.2	setosa	Chacarita
44	5	3.5	1.6	0.6	setosa	Chacarita
45	5.1	3.8	1.9	0.4	setosa	Chacarita
46	4.8	3	1.4	0.3	setosa	Chacarita
47	5.1	3.8	1.6	0.2	setosa	Chacarita
48	4.6	3.2	1.4	0.2	setosa	Chacarita
49	5.3	3.7	1.5	0.2	setosa	Chacarita
50	5	3.3	1.4	0.2	setosa	Chacarita
51	7	3.2	4.7	1.4	versicolor	Esparza
52	6.4	3.2	4.5	1.5	versicolor	Esparza
53	6.9	3.1	4.9	1.5	versicolor	Esparza
54	5.5	2.3	4	1.3	versicolor	Esparza
55	6.5	2.8	4.6	1.5	versicolor	Esparza
56	5.7	2.8	4.5	1.3	versicolor	Esparza
57	6.3	3.3	4.7	1.6	versicolor	Esparza
58	4.9	2.4	3.3	1	versicolor	Esparza
59	6.6	2.9	4.6	1.3	versicolor	Esparza
60	5.2	2.7	3.9	1.4	versicolor	Esparza
61	5	2	3.5	1	versicolor	Esparza
62	5.9	3	4.2	1.5	versicolor	Esparza
63	6	2.2	4	1	versicolor	Esparza
64	6.1	2.9	4.7	1.4	versicolor	Esparza
65	5.6	2.9	3.6	1.3	versicolor	Esparza
66	6.7	3.1	4.4	1.4	versicolor	Esparza
67	5.6	3	4.5	1.5	versicolor	Esparza
68	5.8	2.7	4.1	1	versicolor	Garabito
69	6.2	2.2	4.5	1.5	versicolor	Garabito
70	5.6	2.5	3.9	1.1	versicolor	Garabito
71	5.9	3.2	4.8	1.8	versicolor	Garabito
72	6.1	2.8	4	1.3	versicolor	Garabito
73	6.3	2.5	4.9	1.5	versicolor	Garabito
74	6.1	2.8	4.7	1.2	versicolor	Garabito
75	6.4	2.9	4.3	1.3	versicolor	Garabito
76	6.6	3	4.4	1.4	versicolor	Garabito
77	6.8	2.8	4.8	1.4	versicolor	Garabito
78	6.7	3	5	1.7	versicolor	Garabito
79	6	2.9	4.5	1.5	versicolor	Garabito
80	5.7	2.6	3.5	1	versicolor	Garabito
81	5.5	2.4	3.8	1.1	versicolor	Garabito
82	5.5	2.4	3.7	1	versicolor	Garabito
83	5.8	2.7	3.9	1.2	versicolor	Garabito
84	6	2.7	5.1	1.6	versicolor	Garabito
85	5.4	3	4.5	1.5	versicolor	Chacarita
86	6	3.4	4.5	1.6	versicolor	Chacarita
87	6.7	3.1	4.7	1.5	versicolor	Chacarita
88	6.3	2.3	4.4	1.3	versicolor	Chacarita
89	5.6	3	4.1	1.3	versicolor	Chacarita
90	5.5	2.5	4	1.3	versicolor	Chacarita
91	5.5	2.6	4.4	1.2	versicolor	Chacarita
92	6.1	3	4.6	1.4	versicolor	Chacarita
93	5.8	2.6	4	1.2	versicolor	Chacarita
94	5	2.3	3.3	1	versicolor	Chacarita
95	5.6	2.7	4.2	1.3	versicolor	Chacarita
96	5.7	3	4.2	1.2	versicolor	Chacarita
97	5.7	2.9	4.2	1.3	versicolor	Chacarita
98	6.2	2.9	4.3	1.3	versicolor	Chacarita
99	5.1	2.5	3	1.1	versicolor	Chacarita
100	5.7	2.8	4.1	1.3	versicolor	Chacarita
101	6.3	3.3	6	2.5	virginica	Esparza
102	5.8	2.7	5.1	1.9	virginica	Esparza
103	7.1	3	5.9	2.1	virginica	Esparza
104	6.3	2.9	5.6	1.8	virginica	Esparza
105	6.5	3	5.8	2.2	virginica	Esparza
106	7.6	3	6.6	2.1	virginica	Esparza
107	4.9	2.5	4.5	1.7	virginica	Esparza
108	7.3	2.9	6.3	1.8	virginica	Esparza
109	6.7	2.5	5.8	1.8	virginica	Esparza
110	7.2	3.6	6.1	2.5	virginica	Esparza
111	6.5	3.2	5.1	2	virginica	Esparza
112	6.4	2.7	5.3	1.9	virginica	Esparza
113	6.8	3	5.5	2.1	virginica	Esparza
114	5.7	2.5	5	2	virginica	Esparza
115	5.8	2.8	5.1	2.4	virginica	Esparza
116	6.4	3.2	5.3	2.3	virginica	Esparza
117	6.5	3	5.5	1.8	virginica	Esparza
