	Years	Meses	Temperatura	Humedad	Viento
1	2000	Ene	18.08684137	96.98922455	16.04204062
2	2000	Feb	18.2453603	96.96208131	22.01206341
3	2000	Mar	18.79334747	96.80464951	9.657858847
4	2000	Abr	18.96346246	96.48158786	11.52107272
5	2000	May	19.2011146	96.40859205	9.5258089
6	2000	Jun	19.75521404	96.32921316	9.514963991
7	2000	Jul	19.81637882	96.27832256	13.71882449
8	2000	Ago	19.82085027	95.26809755	7.693407817
9	2000	Set	19.86084735	95.19826192	19.14236742
10	2000	Oct	19.91180777	93.68899625	16.95660391
11	2000	Nov	20.15936258	93.62403391	9.957486531
12	2000	Dic	20.28790352	93.32227084	8.886182823
13	2005	Ene	20.47136322	92.68865526	11.2862995
14	2005	Feb	20.50266311	92.03619474	12.62574798
15	2005	Mar	20.71277498	90.87867386	4.996002283
16	2005	Abr	20.7150423	90.83472434	8.51414247
17	2005	May	20.97776898	90.82300027	15.14863538
18	2005	Jun	21.21245221	90.8147302	14.56241622
19	2005	Jul	21.21865842	90.51483437	13.86490985
20	2005	Ago	21.26616354	88.67954991	13.89599183
21	2005	Set	21.33398768	88.58273409	9.569225348
22	2005	Oct	21.33967344	88.25767445	18.88533244
23	2005	Nov	21.43150647	87.51685053	15.81191606
24	2005	Dic	21.8121415	87.50817743	13.10751699
25	2010	Ene	22.1164238	86.36015752	12.63867083
26	2010	Feb	22.25320277	86.26316644	5.868312545
27	2010	Mar	22.2772237	86.02514184	14.37300768
28	2010	Abr	22.47273266	85.61043082	11.84617347
29	2010	May	22.50839783	84.95558763	9.048856907
30	2010	Jun	22.58272018	84.81357688	16.57344686
31	2010	Jul	22.6421741	84.70127253	18.49396597
32	2010	Ago	22.74598051	84.22128199	22.23783183
33	2010	Set	23.27499138	83.93517453	14.83458203
34	2010	Oct	23.5807865	83.29177407	15.22002567
35	2010	Nov	23.81394435	82.69787719	3.823313594
36	2010	Dic	23.92158098	81.87088273	8.819427955
37	2015	Ene	24.12429078	81.81735939	13.91433192
38	2015	Feb	24.35773626	81.09747611	16.87756867
39	2015	Mar	24.47967043	80.67011243	11.69818799
40	2015	Abr	24.55876363	80.66279767	15.75733108
41	2015	May	24.70943926	80.62520434	19.83870002
42	2015	Jun	25.11924921	80.49814719	10.31251261
43	2015	Jul	25.28582502	79.48006407	17.82734119
44	2015	Ago	25.78689504	78.27684455	14.95228268
45	2015	Set	26.04065938	78.20183783	14.56408532
46	2015	Oct	26.15964918	78.03650921	9.059867234
47	2015	Nov	26.20258241	77.7568354	14.38101469
48	2015	Dic	26.27212737	77.48572069	8.317313101
49	2020	Ene	26.32412226	77.45889162	17.74627876
50	2020	Feb	26.33199876	77.32716962	15.70472004
51	2020	Mar	26.3384028	76.58663748	7.082272985
52	2020	Abr	26.51636112	76.45007736	12.38081652
53	2020	May	26.53305303	76.16957058	20.20898685
54	2020	Jun	26.55515259	75.62601332	9.636439078
55	2020	Jul	26.59052429	75.04857267	17.47938242
56	2020	Ago	26.83467466	74.36183453	7.051846874
57	2020	Set	26.87359333	73.70635214	12.30327644
58	2020	Oct	26.92715869	73.36068961	12.80630061
59	2020	Nov	26.9549582	72.81406308	1.807372338
60	2020	Dic	26.95537397	70.45786736	15.21623369
