	lpg	dias	farmacos
1	456	0	Ivermectina
2	223	7	Ivermectina
3	176	21	Ivermectina
4	154	42	Ivermectina
5	13	63	Ivermectina
6	314	0	Levamisol
7	278	7	Levamisol
8	56	21	Levamisol
9	24	42	Levamisol
10	0	63	Levamisol
11	378	0	Mebendazol
12	256	7	Mebendazol
13	123	21	Mebendazol
14	101	42	Mebendazol
15	98	63	Mebendazol
16	5	0	Piperazina
17	178	7	Piperazina
18	128	21	Piperazina
19	113	42	Piperazina
20	52	63	Piperazina
21	497	0	Albendazol
22	259	7	Albendazol
23	23	21	Albendazol
24	18	42	Albendazol
25	0	63	Albendazol
