especie	temperatura	actividad	consumo_O2
1   	24   	bajo   	1.8
1   	24   	bajo   	1.9
1   	24   	bajo   	1.7
1   	24   	bajo   	1.8
1   	24   	alto   	2.3
1   	24   	alto   	2.4
1   	24   	alto   	2.2
1   	24   	alto   	2.5
1   	28   	bajo   	2.4
1   	28   	bajo   	2.5
1   	28   	bajo   	2.3
1   	28   	bajo   	2.4
1   	28   	alto   	3
1   	28   	alto   	3.1
1   	28   	alto   	2.9
1   	28   	alto   	3.2
1   	28   	alto   	3
1   	32   	bajo   	3
1   	32   	bajo   	3.1
1   	32   	bajo   	2.9
1   	32   	bajo   	3
1   	32   	alto   	3.8
1   	32   	alto   	3.9
1   	32   	alto   	3.7
1   	32   	alto   	4
2   	24   	bajo   	2
2   	24   	bajo   	2.1
2   	24   	bajo   	1.9
2   	24   	bajo   	2
2   	24   	alto   	2.6
2   	24   	alto   	2.7
2   	24   	alto   	2.5
2   	24   	alto   	2.8
2   	28   	bajo   	2.7
2   	28   	bajo   	2.8
2   	28   	bajo   	2.6
2   	28   	bajo   	2.7
2   	28   	alto   	3.4
2   	28   	alto   	3.5
2   	28   	alto   	3.3
2   	28   	alto   	3.6
2   	32   	bajo   	3.4
2   	32   	bajo   	3.5
2   	32   	bajo   	3.3
2   	32   	bajo   	3.4
2   	32   	bajo   	3.5
2   	32   	alto   	4.2
2   	32   	alto   	4.3
2   	32   	alto   	4.1
2   	32   	alto   	4.4
3   	24   	bajo   	1.5
3   	24   	bajo   	1.6
3   	24   	bajo   	1.4
3   	24   	bajo   	1.5
3   	24   	alto   	2
3   	24   	alto   	2.1
3   	24   	alto   	1.9
3   	24   	alto   	2.2
3   	28   	bajo   	2.1
3   	28   	bajo   	2.2
3   	28   	bajo   	2
3   	28   	bajo   	2.1
3   	28   	alto   	2.8
3   	28   	alto   	2.9
3   	28   	alto   	2.7
3   	28   	alto   	3
3   	32   	bajo   	2.7
3   	32   	bajo   	2.8
3   	32   	bajo   	2.6
3   	32   	bajo   	2.7
3   	32   	alto   	3.5
3   	32   	alto   	3.6
3   	32   	alto   	3.4
3   	32   	alto   	3.7
3   	32   	alto   	3.5
