ano	resbacteria
ano1	52.48
ano1	49.31
ano1	53.24
ano1	57.62
ano1	48.83
ano1	48.83
ano1	57.9
ano1	53.84
ano1	47.65
ano1	52.71
ano1	47.68
ano1	47.67
ano1	51.21
ano1	40.43
ano1	41.38
ano1	47.19
ano1	44.94
ano1	51.57
ano2	47.46
ano2	44.94
ano2	59.33
ano2	50.87
ano2	52.34
ano2	44.88
ano2	49.28
ano2	52.55
ano2	46.25
ano2	53.88
ano2	49
ano2	50.54
ano2	48.99
ano2	61.26
ano2	51.93
ano2	46.71
ano2	56.11
ano2	45.9
ano3	52.04
ano3	41.2
ano3	44.36
ano3	51.98
ano3	54.69
ano3	51.86
ano3	50.42
ano3	49.49
ano3	43.61
ano3	47.4
ano3	48.7
ano3	56.29
ano3	52.72
ano3	42.18
ano3	52.62
ano3	49.07
ano3	47.62
ano3	54.06
