dificultad	colegio	materia
100	A	quimica
60	A	quimica
20	A	quimica
20	A	quimica
60	A	quimica
60	A	quimica
100	A	fisica
60	A	fisica
100	A	fisica
100	A	fisica
60	A	fisica
100	A	fisica
20	A	biologia
20	A	biologia
60	A	biologia
20	A	biologia
60	A	biologia
60	A	biologia
20	B	quimica
20	B	quimica
20	B	quimica
20	B	quimica
60	B	quimica
20	B	quimica
100	B	fisica
100	B	fisica
20	B	fisica
20	B	fisica
60	B	fisica
100	B	fisica
60	B	biologia
100	B	biologia
60	B	biologia
20	B	biologia
20	B	biologia
60	B	biologia
100	C	quimica
60	C	quimica
100	C	quimica
20	C	quimica
100	C	quimica
60	C	quimica
100	C	fisica
60	C	fisica
100	C	fisica
100	C	fisica
100	C	fisica
100	C	fisica
60	C	biologia
20	C	biologia
60	C	biologia
60	C	biologia
20	C	biologia
20	C	biologia
