Isla	Diversidad	Abundancia	Lat	Lon
23	4.45	67	28.14	-11.92
89	8.24	65	25.18	-19.32
34	2.33	60	33.82	-18.19
29	5.76	64	34.2	-11.53
33	6.7	68	40.07	-17.75
99	6.91	59	42.93	-18.21
1	7.11	67	19.02	-18.06
12	7.31	66	18.07	-11.23
28	2.52	62	23.08	-11.11
90	7.72	60	14.39	-14.53
91	7.92	66	54.05	-19.45
94	8.12	58	60.92	-12.37
96	2.33	66	34.69	-11.13
100	8.53	66	33.82	-10.91
187	8.73	63	33.93	-17.95
202	8.94	68	16.63	-19.69
288	9.14	68	10.68	-15.93
303	2.34	69	19.85	-16.54
330	9.54	60	36.01	-12.43
238	9.75	58	33.71	-17.24
454	7.11	59	33.93	-16.88
556	7.31	65	33.71	-16.23
558	6.66	68	30.67	-11.32
887	6.01	69	19.98	-17.33
298	5.36	69	18.1	-17.63
432	4.71	68	17.24	-18.27
342	2.06	67	14.1	-19.5
154	3.42	67	15.11	-14.27
243	10.27	65	14.07	-17.15
908	8.52	50	13.98	-17.51
287	4.45	66	10.26	-11.19
543	8.24	68	19.7	-10.31
909	6.33	59	11.24	-19.32
393	2.76	69	12.78	-17.33
205	5.19	68	14.32	-19.34
187	4.61	67	15.85	-11.35
278	3.04	66	17.39	-12.36
555	3.47	69	18.93	-13.37
999	2.89	66	20.47	-15.38
