sustrato	alturatallo	
grupo1	20	
grupo1	2	
grupo1	18	
grupo1	16	
grupo1	15	
grupo2	16	
grupo2	19	
grupo2	15	
grupo2	16	
grupo2	16	
grupo3	20	
grupo3	17	
grupo3	20	
grupo3	16	
grupo3	12	
grupo4	0	
grupo4	0	
grupo4	10	
grupo4	7	
grupo4	12	
grupo1	18	
grupo1	18	
grupo1	20	
grupo1	17	
grupo1	10	
grupo2	15	
grupo2	16	
grupo2	12	
grupo2	15	
grupo2	10	
grupo3	11	
grupo3	12	
grupo3	12	
grupo3	10	
grupo3	12	
grupo4	11	
grupo4	10	
grupo4	15	
grupo4	0	
grupo4	0	
		
		
