riqueza	habitat	elevacion	latitud	longitud
6	bosquehumedo	389	9.9761	-84.8386
16	bosquehumedo	8	9.9764	-84.8382
18	bosquehumedo	152	9.9759	-84.838
17	bosquehumedo	1	9.9767	-84.8388
9	bosquehumedo	210	9.976	-84.8383
15	bosquehumedo	78	9.9765	-84.8381
7	bosquehumedo	47	9.9762	-84.8389
12	bosquehumedo	491	9.9758	-84.8385
14	bosquehumedo	121	9.9766	-84.8384
9	bosquehumedo	95	9.9763	-84.8387
10	bosquehumedo	274	9.9761	-84.8381
10	bosquehumedo	335	9.9764	-84.8389
4	bosquehumedo	543	9.9757	-84.8386
5	bosquehumedo	323	9.9768	-84.8382
7	bosquehumedo	158	9.976	-84.8387
7	bosquehumedo	313	9.9765	-84.838
4	bosquehumedo	468	9.9759	-84.8384
6	bosquehumedo	362	9.9767	-84.8386
6	bosquehumedo	236	9.9762	-84.8383
8	bosquehumedo	30	9.9766	-84.8388
6	bosquehumedo	353	9.9758	-84.8381
6	bosquehumedo	133	9.9764	-84.8385
5	bosquemuyhumedo	389	9.9902	-83.0363
6	bosquemuyhumedo	8	9.9898	-83.0359
14	bosquemuyhumedo	152	9.9905	-83.0361
7	bosquemuyhumedo	1	9.9901	-83.0367
4	bosquemuyhumedo	210	9.9899	-83.036
8	bosquemuyhumedo	78	9.9904	-83.0358
2	bosquemuyhumedo	47	9.99	-83.0365
3	bosquemuyhumedo	491	9.9897	-83.0362
4	bosquemuyhumedo	121	9.9906	-83.0361
8	bosquemuyhumedo	95	9.9903	-83.0364
8	bosquemuyhumedo	274	9.9899	-83.0357
4	bosquemuyhumedo	335	9.9905	-83.0366
2	bosquemuyhumedo	543	9.9896	-83.036
7	bosquemuyhumedo	323	9.9907	-83.0359
2	bosquemuyhumedo	158	9.9901	-83.0363
3	bosquemuyhumedo	313	9.9904	-83.036
3	bosquemuyhumedo	468	9.9898	-83.0366
2	bosquemuyhumedo	362	9.9906	-83.0358
3	bosquemuyhumedo	236	9.9902	-83.0365
2	bosquemuyhumedo	30	9.9905	-83.0362
5	bosquemuyhumedo	353	9.9897	-83.0359
5	bosquemuyhumedo	133	9.9903	-83.0361
