osopolar	peso
groenlandia	686.1
groenlandia	704.2
groenlandia	490.3
groenlandia	922.2
groenlandia	674.5
groenlandia	537.3
groenlandia	898.8
groenlandia	471
groenlandia	656.2
groenlandia	807.6
groenlandia	584.68
groenlandia	532.9
groenlandia	793.6
groenlandia	578.33
groenlandia	333.2
noruega	923.1
noruega	543.73
noruega	476.1
noruega	570.6
noruega	608.92
noruega	532.4
noruega	704.1
noruega	803.74
noruega	587.3
noruega	686.1
noruega	704.2
noruega	490.3
noruega	922.2
noruega	674.5
noruega	537.3
canada	704.2
canada	922.2
canada	537.3
canada	656.2
canada	884.68
canada	532.9
canada	578.33
canada	923.1
canada	676.1
canada	570.6
canada	532.4
canada	803.74
canada	986.1
canada	590.3
canada	674.5
