id	isla	parcela	nitrogeno
1	Choros	P1	15.2
2	Choros	P1	14.8
3	Choros	P1	15.5
4	Choros	P1	16.1
5	Choros	P1	15.0
6	Choros	P2	14.2
7	Choros	P2	14.5
8	Choros	P2	13.9
9	Choros	P2	14.8
10	Choros	P2	14.3
11	Choros	P3	15.7
12	Choros	P3	16.0
13	Choros	P3	15.3
14	Choros	P3	15.9
15	Choros	P3	16.2
16	Choros	P4	14.9
17	Choros	P4	15.1
18	Choros	P4	15.4
19	Choros	P4	14.7
20	Choros	P4	15.0
21	Damas	P5	17.2
22	Damas	P5	17.5
23	Damas	P5	18.0
24	Damas	P5	17.8
25	Damas	P5	17.6
26	Damas	P6	16.5
27	Damas	P6	16.8
28	Damas	P6	16.3
29	Damas	P6	16.9
30	Damas	P6	16.6
31	Damas	P7	18.2
32	Damas	P7	18.5
33	Damas	P7	18.0
34	Damas	P7	18.3
35	Damas	P7	18.6
36	Damas	P8	17.0
37	Damas	P8	17.3
38	Damas	P8	17.1
39	Damas	P8	17.4
40	Damas	P8	17.2
