id	cobertura	altura
1	A	15.2
2	A	14.8
3	A	15.5
4	A	16.1
5	A	15.0
6	A	14.7
7	A	15.3
8	A	14.9
9	A	15.4
10	A	15.1
11	A	14.6
12	A	15.2
13	B	16.8
14	B	17.1
15	B	16.5
16	B	17.3
17	B	16.9
18	B	17.0
19	B	16.7
20	B	17.2
21	B	16.6
22	B	17.1
23	B	16.8
24	B	17.0
25	C	14.2
26	C	14.5
27	C	14.0
28	C	14.8
29	C	14.3
30	C	14.1
31	C	14.6
32	C	14.4
33	C	14.7
34	C	14.2
35	C	14.5
36	C	14.3
37	D	18.5
38	D	18.2
39	D	18.7
40	D	18.3
41	D	18.6
42	D	18.4
43	D	18.8
44	D	18.5
45	D	18.2
46	D	18.7
47	D	18.6
48	D	18.4
49	E	16.0
50	E	15.7
51	E	16.2
52	E	15.8
53	E	16.1
54	E	15.9
55	E	16.3
56	E	16.0
57	E	15.8
58	E	16.2
59	E	15.7
60	E	16.1
