riqueza	habitat	elevacion	latitud	longitud
10	puntarenas	900	9.8642	-83.9196
18	puntarenas	1100	9.8647	-83.9193
20	puntarenas	1200	9.864	-83.9191
19	puntarenas	1250	9.865	-83.9198
14	puntarenas	1000	9.8643	-83.9192
17	puntarenas	1050	9.8648	-83.9195
12	puntarenas	980	9.8641	-83.9197
16	puntarenas	1350	9.8651	-83.9194
18	puntarenas	1150	9.8645	-83.919
15	puntarenas	1080	9.8649	-83.9196
17	puntarenas	1120	9.8642	-83.9193
16	puntarenas	1180	9.8646	-83.9198
11	puntarenas	1400	9.8639	-83.9195
13	puntarenas	1300	9.8652	-83.9192
14	puntarenas	1020	9.8643	-83.9197
15	puntarenas	1160	9.8648	-83.9191
12	puntarenas	1380	9.8641	-83.9194
13	puntarenas	1250	9.865	-83.9196
14	puntarenas	1100	9.8644	-83.919
15	puntarenas	950	9.8647	-83.9199
16	puntarenas	1200	9.8642	-83.9192
17	puntarenas	1280	9.8651	-83.9195
5	limon	389	9.9902	-83.0363
6	limon	8	9.9898	-83.0359
14	limon	152	9.9905	-83.0361
7	limon	1	9.9901	-83.0367
4	limon	210	9.9899	-83.036
8	limon	78	9.9904	-83.0358
2	limon	47	9.99	-83.0365
3	limon	491	9.9897	-83.0362
4	limon	121	9.9906	-83.0361
8	limon	95	9.9903	-83.0364
8	limon	274	9.9899	-83.0357
4	limon	335	9.9905	-83.0366
2	limon	543	9.9896	-83.036
7	limon	323	9.9907	-83.0359
2	limon	158	9.9901	-83.0363
3	limon	313	9.9904	-83.036
3	limon	468	9.9898	-83.0366
2	limon	362	9.9906	-83.0358
3	limon	236	9.9902	-83.0365
2	limon	30	9.9905	-83.0362
5	limon	353	9.9897	-83.0359
5	limon	133	9.9903	-83.0361
10	cartago	900	9.8642	-83.9196
18	cartago	1100	9.8647	-83.9193
20	cartago	1200	9.864	-83.9191
19	cartago	1250	9.865	-83.9198
14	cartago	1000	9.8643	-83.9192
17	cartago	1050	9.8648	-83.9195
12	cartago	980	9.8641	-83.9197
16	cartago	1350	9.8651	-83.9194
18	cartago	1150	9.8645	-83.919
15	cartago	1080	9.8649	-83.9196
17	cartago	1120	9.8642	-83.9193
16	cartago	1180	9.8646	-83.9198
11	cartago	1400	9.8639	-83.9195
13	cartago	1300	9.8652	-83.9192
14	cartago	1020	9.8643	-83.9197
15	cartago	1160	9.8648	-83.9191
12	cartago	1380	9.8641	-83.9194
13	cartago	1250	9.865	-83.9196
14	cartago	1100	9.8644	-83.919
15	cartago	950	9.8647	-83.9199
16	cartago	1200	9.8642	-83.9192
17	cartago	1280	9.8651	-83.9195
