prod	tratamiento	parcelas	nitrogeno	fosforo
34	Rim	1	2	7
54	Ri.AmSul	1	3	6
44	Ri.Axan	1	5	8
51	Ri.Frig	1	4	4
62	Ri.MO4	1	8	8
61	Ri.MO8	1	10	9
59	Ri.SO.1	1	2	10
66	Ri.SO.3	1	1	14
52	Un.	1	3	13
52	We.	1	2	15
40	Rim	2	9	13
57	Ri.AmSul	2	11	12
52	Ri.Axan	2	8	12
46	Ri.Frig	2	5	16
61	Ri.MO4	2	6	17
70	Ri.MO8	2	2	15
67	Ri.SO.1	2	6	8
59	Ri.SO.3	2	9	9
63	Un.	2	8	5
50	We.	2	4	9
38	Rim	3	8	8
40	Ri.AmSul	3	7	7
53	Ri.Axan	3	4	6
51	Ri.Frig	3	5	4
54	Ri.MO4	3	2	7
64	Ri.MO8	3	3	6
58	Ri.SO.1	3	9	9
67	Ri.SO.3	3	8	3
60	Un.	3	1	4
44	We.	3	0	2
36	Rim	4	1	8
43	Ri.AmSul	4	2	4
51	Ri.Axan	4	5	8
49	Ri.Frig	4	3	7
60	Ri.MO4	4	5	4
68	Ri.MO8	4	6	9
66	Ri.SO.1	4	4	9
58	Ri.SO.3	4	3	10
59	Un.	4	7	11
52	We.	4	1	15
