fertilizante	prodsemillas	tratamiento					
fertilizante1	42	tratA					
fertilizante2	45	tratA					
fertilizante3	41	tratA					
fertilizante4	56	tratA					
fertilizante5	47	tratA					
fertilizante1	47	tratB					
fertilizante2	54	tratB					
fertilizante3	46	tratB					
fertilizante4	52	tratB					
fertilizante5	49	tratB					
fertilizante1	55	tratC					
fertilizante2	52	tratC					
fertilizante3	57	tratC					
fertilizante4	49	tratC					
fertilizante5	45	tratC					
fertilizante1	51	tratD					
fertilizante2	44	tratD					
fertilizante3	47	tratD					
fertilizante4	50	tratD					
fertilizante5	54	tratD					
fertilizante1	44	tratE					
fertilizante2	50	tratE					
fertilizante3	48	tratE					
fertilizante4	43	tratE					
fertilizante5	46	tratE					
