usosuelo	abundancia
Agr_intensiva	13.2
Agr_intensiva	15.8
Agr_intensiva	14.1
Agr_intensiva	16.7
Agr_intensiva	15.3
Agr_intensiva	12.9
Agr_intensiva	18.4
Agr_intensiva	14.8
Agr_intensiva	16.1
Agr_intensiva	15
Agr_intensiva	13.7
Agr_intensiva	17.2
Agr_intensiva	14.6
Agr_intensiva	15.9
Agr_intensiva	14.3
Agr_intensiva	16.8
Agr_intensiva	13.5
Agr_intensiva	15.6
Agr_intensiva	14.9
Agr_intensiva	17.1
Agr_intensiva	13.8
Agr_intensiva	15.2
Agr_organica	20.1
Agr_organica	22.4
Agr_organica	21.3
Agr_organica	23.2
Agr_organica	22
Agr_organica	19.8
Agr_organica	24.5
Agr_organica	21.7
Agr_organica	22.9
Agr_organica	21.5
Agr_organica	20.7
Agr_organica	23.6
Agr_organica	21.2
Agr_organica	22.8
Agr_organica	20.9
Agr_organica	23.1
Agr_organica	21.4
Agr_organica	22.2
Agr_organica	20.6
Agr_organica	21.9
Agr_organica	22.5
Agr_organica	21.1
Bosque_sec	26.3
Bosque_sec	28.5
Bosque_sec	27.4
Bosque_sec	29.1
Bosque_sec	28.2
Bosque_sec	25.9
Bosque_sec	30.3
Bosque_sec	27.8
Bosque_sec	29
Bosque_sec	27.1
Bosque_sec	26.6
Bosque_sec	28.9
Bosque_sec	27.5
Bosque_sec	28.3
Bosque_sec	26.8
Bosque_sec	29.4
Bosque_sec	27.2
Bosque_sec	28.6
Bosque_sec	26.9
Bosque_sec	27.7
Bosque_sec	28.1
Bosque_sec	27.3
Bosque_pri	32.4
Bosque_pri	34.6
Bosque_pri	33.5
Bosque_pri	35.2
Bosque_pri	34.1
Bosque_pri	31.8
Bosque_pri	36.5
Bosque_pri	33.9
Bosque_pri	35
Bosque_pri	33.2
Bosque_pri	32.7
Bosque_pri	35.4
Bosque_pri	33.6
Bosque_pri	34.8
Bosque_pri	32.9
Bosque_pri	35.6
Bosque_pri	33.1
Bosque_pri	34.3
Bosque_pri	32.8
Bosque_pri	33.7
Bosque_pri	34.2
Bosque_pri	33.4
