mpg	Velocidad
258	Velocidad1
235	Velocidad1
220	Velocidad1
230	Velocidad1
270	Velocidad1
225	Velocidad1
240	Velocidad1
240	Velocidad1
260	Velocidad1
235	Velocidad2
233	Velocidad2
231	Velocidad2
240	Velocidad2
242	Velocidad2
242	Velocidad2
244	Velocidad2
245	Velocidad2
255	Velocidad2
245	Velocidad3
246	Velocidad3
247	Velocidad3
250	Velocidad3
251	Velocidad3
255	Velocidad3
240	Velocidad3
236	Velocidad3
238	Velocidad3
237	Velocidad4
238	Velocidad4
239	Velocidad4
230	Velocidad4
239	Velocidad4
245	Velocidad4
254	Velocidad4
250	Velocidad4
249	Velocidad4
248	Velocidad5
237	Velocidad5
238	Velocidad5
239	Velocidad5
239	Velocidad5
238	Velocidad5
245	Velocidad5
240	Velocidad5
240	Velocidad5
